Structure,Model,lambda,95% CI min,Predicted,95% CI max,Observed,Diff.min,Diff.pre,Diff.max,N,rCMRGlc
Corpus geniculatum laterale,Brownian (BM),1,787.48,1002.8,1276.9,335,-1.3506868978128224,-1.9933192655410226,-2.811634902885522,48,23.1
Corpus geniculatum laterale,Pagel's lambda (ML),0.983,763.4,979.88,1257.7,335,-1.2787979864480281,-1.9250101543678722,-2.7544725131563523,48,23.1
Amygdala,Brownian (BM),1,2802.8,3513.9,4405.4,3015,0.07037380234319719,-0.16548185727739353,-0.4611765062845568,17,22.2
Amygdala,Pagel's lambda (ML),0.452,2657.1,3478.3,4553.4,3015,0.1187117395152278,-0.153675203089677,-0.5102509972070641,17,22.2
Pallidum,Brownian (BM),1,15683,19334,23835,4711,-2.329042938503878,-3.10405172071567,-4.059484313494273,26,21.9
Pallidum,Pagel's lambda (ML),1.06,15859,18304,21125,4711,-2.3664539844559394,-2.8853118600499674,-3.484139192024211,26,21.9
Neocortex white,Brownian (BM),1,409800,542610,718450,421820,0.028485148252651974,-0.2863547072762456,-0.703225051017623,23,12.3
Neocortex white,Pagel's lambda (ML),0.652,386360,581630,875590,421820,0.08406920080357054,-0.3788543724993865,-1.0757456592012027,23,12.3
Insular cortex (grey),Brownian (BM),1,1894.3,3124.2,5152.7,6165,0.6927377094584958,0.49323781700499875,0.1642062237403977,29,30.3
Insular cortex (grey),Pagel's lambda (ML),-0.117,7618.2,14425,27313,6165,-0.23571571490248552,-1.3397983452574818,-3.4303525725588706,29,30.3
Nucleus subthalamicus Luysi,Brownian (BM),1,792.82,1008.7,1283.3,469,-0.6904534559746536,-1.1507281745528173,-1.7363259629933578,25,25.2
Nucleus subthalamicus Luysi,Pagel's lambda (ML),1.1,336.26,705.31,1479.4,469,0.2830194870920991,-0.5038587354636117,-2.1543271476901693,25,25.2
Capsula interna,Brownian (BM),1,11742,14419,17707,7008,-0.6755331198258502,-1.0575705244088658,-1.526716071930707,25,25.5
Capsula interna,Pagel's lambda (ML),1.02,11530,13966,16918,7008,-0.6451995344982053,-0.9929280888782811,-1.4141523773597753,25,25.5
Striatum,Brownian (BM),1,39986,47086,55446,28689,-0.39376131633248096,-0.6412446387803434,-0.9326723541254058,45,36.3
Striatum,Pagel's lambda (ML),0.872,44604,54374,66284,28689,-0.5547413903546425,-0.8952951265476078,-1.310444450118956,45,36.3
Area striata grey,Brownian (BM),1,16954,22300,29332,15248,-0.11192779335577369,-0.4625585616205404,-0.9237558040651674,44,35.8
Area striata grey,Pagel's lambda (ML),0.832,16475,22467,30638,15248,-0.08051614270767989,-0.47349209927382996,-1.0093905873369111,44,35.8
Neocortex grey,Brownian (BM),1,323010,411870,525170,584710,0.4475645368802391,0.295598202515072,0.10182831221964526,23,33.5
Neocortex grey,Pagel's lambda (ML),0.497,330740,472550,675160,584710,0.43434357331931106,0.19181253152930083,-0.15470620218337552,23,33.5
Mesencephalon,Brownian (BM),1,8093.1,9097.8,10227,8087,-7.600654353596806e-4,-0.12498634524809259,-0.2646330731073787,45,25.3
Mesencephalon,Pagel's lambda (ML),1,8073.2,9067.8,10185,8087,0.0017082667409348375,-0.12128091651778265,-0.2594223230141548,45,25.3
Cerebellum,Brownian (BM),1,120220,142900,169860,137420,0.12520643230780723,-0.03984396987352676,-0.2360350162780306,45,29.8
Cerebellum,Pagel's lambda (ML),0.947,129170,156550,189730,137420,0.060067091140542955,-0.1391648797164247,-0.38062686277683416,45,29.8
Hippocampus,Brownian (BM),1,8960.2,12374,17090,10287,0.12897550582847836,-0.2029224927893106,-0.6612879813842547,45,25.7
Hippocampus,Pagel's lambda (ML),0.962,9089.4,12931,18395,10287,0.1164216501451155,-0.2569884154185707,-0.7882057394864708,45,25.7
Nucleus dentatus cerebelli,Brownian (BM),1,1232.3,1504.5,1836.7,1166.9,-0.05608733521083897,-0.2893003824963619,-0.57401326659542,43,24.2
Nucleus dentatus cerebelli,Pagel's lambda (ML),0.894,1252,1588.8,2016.2,1166.9,-0.07289247842061088,-0.3615290285544587,-0.7278164707849781,43,24.2
